id,title,company_name,location_city,location_area,salary_min,salary_max,description,skills,job_type
133,"Tukang Las Profesional","Bengkel Las Jaya","Surabaya","Area Industri",4500000,6000000,"Melakukan pengelasan untuk pembuatan pagar, kanopi, dan konstruksi baja ringan.","Las Listrik;Las Argon","Full-time"
134,"Event Organizer Assistant","Pesta Meriah EO","Jakarta","Pusat Kota",4000000,5500000,"Membantu manajer acara dalam persiapan dan pelaksanaan acara pernikahan dan korporat.","Organisasi Acara;Komunikasi","Part-time"
135,"Apoteker Penanggung Jawab","Apotek Sehat Selalu","Yogyakarta","Pusat Kota",5000000,7000000,"Bertanggung jawab atas pengelolaan apotek, pengadaan obat, dan pelayanan resep kepada pasien.","Farmasi;Manajemen Apotek","Full-time"
136,"Legal Staff","Kantor Hukum & Rekan","Jakarta","Pusat Kota",7000000,10000000,"Menyiapkan dokumen legal, mereview kontrak, dan memberikan nasihat hukum awal kepada klien.","Hukum Perdata;Hukum Perusahaan","Full-time"
137,"Videografer Pernikahan","Abadikan Momen","Bali","Area Wisata",5000000,9000000,"Merekam dan mengedit video sinematik untuk acara pernikahan.","Videografi;Adobe Premiere Pro;Manajemen Warna","Freelance"
138,"Staf Keuangan","Distributor Sembako","Medan","Pusat Kota",4500000,6000000,"Mengurus invoice, pembayaran, dan pencatatan transaksi keuangan harian perusahaan.","Akuntansi Dasar;Microsoft Excel","Full-time"
139,"IT Support","Rumah Sakit Bunda","Depok","Pusat Kota",5000000,7000000,"Memberikan dukungan teknis terkait hardware, software, dan jaringan kepada staf rumah sakit.","Troubleshooting;Jaringan;Windows OS","Full-time"
140,"Product Manager","Aplikasi Edukasi","Bandung","Pusat Kota",13000000,19000000,"Menentukan roadmap produk, menulis spesifikasi fitur, dan bekerja sama dengan tim developer dan desainer.","Manajemen Produk;Agile;Scrum","Full-time"
141,"Sales Farmasi (Alat Kesehatan)","Medika Jaya","Surabaya","Kantor",6000000,10000000,"Menawarkan dan menjual produk alat kesehatan ke rumah sakit dan klinik di area Jawa Timur.","Penjualan;Alat Kesehatan;Negosiasi","Full-time"
142,"Motion Graphic Artist","Studio Animasi Keren","Jakarta","Remote",8000000,12000000,"Membuat animasi 2D dan motion graphics untuk video explainer dan iklan digital.","Adobe After Effects;Illustrator","Remote"
143,"Operator Mesin CNC","Pabrik Presisi Metal","Cikarang","Kawasan Industri",5500000,7500000,"Mengoperasikan mesin CNC untuk memproduksi komponen otomotif sesuai dengan gambar teknik.","Mesin CNC;Gambar Teknik","Full-time"
144,"Pramugari / Pramugara","Terbang Tinggi Airlines","Tangerang","Bandara",7000000,12000000,"Memberikan pelayanan dan memastikan keselamatan penumpang selama penerbangan.","Pelayanan Pelanggan;Keselamatan Penerbangan","Kontrak"
145,"Data Entry Clerk","Biro Sensus Data","Semarang","Remote",3000000,4000000,"Memasukkan data dari dokumen fisik ke dalam sistem komputer dengan cepat dan akurat.","Ketik Cepat;Microsoft Excel","Part-time"
146,"Recruiter","Startup Tumbuh Pesat","Jakarta","Pusat Kota",8000000,11000000,"Mencari dan menyeleksi kandidat untuk berbagai posisi teknis, dari sourcing hingga offering.","Rekrutmen;Wawancara;LinkedIn Recruiter","Full-time"
147,"iOS Developer","Bank Digital Modern","Jakarta","Pusat Kota",11000000,17000000,"Mengembangkan aplikasi mobile untuk platform iOS menggunakan Swift dan SwiftUI.","Swift;SwiftUI;iOS SDK;Xcode","Full-time"
148,"Pastry Chef","Hotel Bintang Lima","Nusa Dua","Area Wisata",6000000,9000000,"Membuat berbagai jenis kue, dessert, dan roti untuk restoran dan layanan kamar hotel.","Pastry;Bakery;Food Costing","Full-time"
149,"Translator Mandarin (Tulis)","Perusahaan Impor Ekspor","Surabaya","Kantor",7000000,9000000,"Menerjemahkan dokumen bisnis, email, dan materi pemasaran dari Bahasa Mandarin ke Bahasa Indonesia.","Bahasa Mandarin (HSK 5/6);Penerjemahan","Full-time"
150,"Jurnalis Investigasi","Media Terkini","Jakarta","Pusat Kota",6000000,9000000,"Melakukan liputan mendalam dan investigasi untuk mengungkap isu-isu penting yang relevan bagi publik.","Jurnalisme;Riset;Menulis Berita","Full-time"
151,"Teknisi AC","Servis Dingin Cepat","Bekasi","Area Perumahan",4000000,6000000,"Melakukan pemasangan, perbaikan, dan perawatan rutin AC di perumahan dan perkantoran.","Teknik Pendingin;Troubleshooting AC","Full-time"
152,"Business Intelligence Analyst","Retail Raksasa","Tangerang","Pusat Kota",9000000,13000000,"Membuat dashboard dan laporan untuk memantau performa penjualan dan operasional toko.","SQL;Power BI;Tableau;Analisis Data","Full-time"
153,"Fotografer Produk","Studio Foto E-commerce","Jakarta","Kantor",5000000,7000000,"Mengambil foto produk untuk ditampilkan di website dan marketplace sesuai dengan standar yang ditentukan.","Fotografi Studio;Lighting;Adobe Photoshop","Full-time"
154,"Manajer Restoran","Restoran Masakan Padang Terkenal","Jakarta","Pusat Kota",8000000,12000000,"Bertanggung jawab atas seluruh operasional restoran, termasuk staf, keuangan, dan kepuasan pelanggan.","Manajemen Restoran;F&B Service","Full-time"
155,"Full-Stack Developer","Software House Solutif","Yogyakarta","Remote",9000000,15000000,"Mengembangkan aplikasi web dari sisi frontend (React/Vue) dan backend (Node.js/Python).","React;Node.js;MongoDB;PostgreSQL","Remote"
156,"Personal Assistant untuk CEO","Korporasi Global","Jakarta","Pusat Kota",8000000,11000000,"Mengatur jadwal, korespondensi, dan persiapan rapat untuk CEO. Membutuhkan diskresi tinggi.","Administrasi;Manajemen Waktu;Komunikasi Profesional","Full-time"
157,"Guru Vokal","Sekolah Musik Harmoni","Surabaya","Pusat Kota",4000000,6000000,"Mengajar teknik vokal kepada siswa dari berbagai tingkat keahlian, secara individu maupun kelompok.","Teknik Vokal;Teori Musik","Part-time"
158,"System Administrator","Universitas Pendidikan","Bandung","Kantor",6000000,8000000,"Mengelola server, jaringan, dan sistem informasi akademik universitas.","Linux;Windows Server;Jaringan","Full-time"
159,"Ahli Gizi (Nutritionist)","Katering Sehat Fit","Jakarta","Dapur Pusat",5000000,7000000,"Merancang menu katering sehat sesuai dengan kebutuhan kalori dan nutrisi pelanggan.","Ilmu Gizi;Perencanaan Menu","Full-time"
160,"Game Developer (Unity)","Studio Game Indie","Bandung","Remote",7000000,11000000,"Mengembangkan game mobile menggunakan engine Unity dan bahasa pemrograman C#.","Unity;C#;Game Design","Remote"
161,"Marketing Communication","Developer Properti","Tangerang","Pusat Kota",7000000,10000000,"Merancang strategi komunikasi pemasaran untuk proyek perumahan baru, termasuk acara dan pameran.","Marcomm;Branding;Event Management","Full-time"
162,"UX Writer","Fintech Terdepan","Jakarta","Pusat Kota",8000000,12000000,"Menulis copy yang jelas, ringkas, dan humanis untuk antarmuka aplikasi mobile agar mudah dimengerti pengguna.","UX Writing;Copywriting","Full-time"
163,"Ilustrator Buku Anak","Penerbit Ceria","Solo","Remote",4000000,6000000,"Membuat ilustrasi yang menarik dan sesuai dengan cerita untuk buku anak-anak.","Ilustrasi Digital;Adobe Illustrator","Freelance"
164,"Site Manager Perkebunan Sawit","PT Sawit Makmur","Riau","Pedesaan",9000000,14000000,"Mengelola seluruh kegiatan operasional di satu area perkebunan, dari pembibitan hingga panen.","Manajemen Agribisnis;Kelapa Sawit","Full-time"
165,"SEO Specialist","Agensi Digital Top","Jakarta","Remote",7000000,11000000,"Melakukan riset keyword, audit teknis SEO, dan membangun backlink untuk meningkatkan peringkat website klien.","SEO;Google Analytics;Ahrefs;SEMrush","Remote"
166,"Tour Guide (Bahasa Mandarin)","Biro Wisata Bali","Denpasar","Area Wisata",4000000,7000000,"Memandu turis dari Tiongkok dan Taiwan mengunjungi tempat-tempat wisata di Bali.","Bahasa Mandarin;Pemandu Wisata","Full-time"
167,"Purchasing Staff","Pabrik Elektronik","Batam","Kawasan Industri",5000000,7000000,"Mencari supplier, melakukan negosiasi harga, dan memesan komponen elektronik untuk kebutuhan produksi.","Purchasing;Negosiasi;SAP","Full-time"
168,"Brand Manager","Perusahaan FMCG","Jakarta","Pusat Kota",15000000,22000000,"Mengembangkan dan mengelola strategi branding untuk salah satu produk sabun terkemuka.","Manajemen Merek;Riset Pasar;Pemasaran","Full-time"
169,"Software Tester (QA)","Game Studio AAA","Yogyakarta","Kantor",6000000,9000000,"Mencari dan melaporkan bug pada game yang sedang dikembangkan, baik secara manual maupun otomatis.","QA Testing;Bug Tracking (Jira)","Full-time"
170,"Tax Consultant","Konsultan Pajak Handal","Jakarta","Pusat Kota",8000000,13000000,"Memberikan konsultasi dan membantu perusahaan dalam perencanaan dan pelaporan pajak.","Perpajakan;Akuntansi","Full-time"
171,"Copywriter Iklan","Agensi Periklanan Global","Jakarta","Pusat Kota",7000000,10000000,"Menulis naskah untuk iklan TV, radio, dan digital yang kreatif dan persuasif.","Copywriting;Konsep Kreatif","Full-time"
172,"Machine Learning Engineer","Pusat Riset AI","Bandung","Pusat Kota",12000000,20000000,"Membangun, melatih, dan menerapkan model machine learning untuk menyelesaikan masalah bisnis.","Python;TensorFlow;PyTorch;Scikit-learn","Full-time"
173,"Florist","Toko Bunga Harum","Surabaya","Pusat Kota",3500000,5000000,"Merangkai bunga untuk berbagai acara seperti pernikahan, ulang tahun, dan duka cita.","Merangkai Bunga;Seni","Full-time"
174,"Community Manager","Platform Gaming","Jakarta","Remote",6000000,9000000,"Membangun dan berinteraksi dengan komunitas gamer di Discord, media sosial, dan forum.","Manajemen Komunitas;Media Sosial;Gaming","Remote"
175,"Interior Designer","Desain Rumah Idaman","Tangerang","Kantor",7000000,11000000,"Merancang tata letak dan interior untuk apartemen dan rumah tinggal sesuai keinginan klien.","AutoCAD;3ds Max;V-Ray","Full-time"
176,"Asisten Apoteker","Jaringan Apotek Nasional","Bekasi","Pusat Kota",4000000,5000000,"Membantu apoteker dalam menyiapkan resep, mengelola stok obat, dan melayani pelanggan.","Farmasi;Pelayanan Kefarmasian","Full-time"
177,"Staf Ekspor Impor","Perusahaan Logistik Internasional","Jakarta","Area Pelabuhan",6000000,8000000,"Mengurus dokumen kepabeanan dan memastikan kelancaran proses pengiriman barang internasional.","Ekspor Impor;Kepabeanan","Full-time"
178,"Guru Matematika SMP","Bimbingan Belajar Juara","Surabaya","Kantor",4500000,6500000,"Mengajar mata pelajaran Matematika untuk siswa tingkat SMP dan persiapan ujian nasional.","Mengajar;Matematika","Full-time"
179,"Manajer HRD","Hotel Bintang 4","Bandung","Pusat Kota",10000000,15000000,"Memimpin departemen HR, bertanggung jawab atas rekrutmen, pelatihan, dan pengembangan karyawan hotel.","Manajemen SDM;Perhotelan","Full-time"
180,"Android Developer (Junior)","Startup Baru","Yogyakarta","Remote",5000000,7000000,"Membantu tim dalam mengembangkan fitur-fitur baru untuk aplikasi Android kami.","Java;Kotlin;Android Studio","Full-time"
181,"Staf Notaris (PPAT)","Kantor Notaris & PPAT","Jakarta","Pusat Kota",5000000,7000000,"Membantu dalam pembuatan akta jual beli, perjanjian, dan dokumen legal lainnya di bawah supervisi notaris.","Hukum;Administrasi Legal","Full-time"
182,"Phlebotomist (Pengambil Darah)","Laboratorium Klinik Utama","Semarang","Kantor",3800000,5000000,"Mengambil sampel darah dari pasien dengan teknik yang aman dan benar.","Phlebotomy;Kesehatan","Full-time"
183,"Surveyor Lapangan","Lembaga Survei Indonesia","Jakarta","Lapangan",5000000,7000000,"Melakukan survei dan wawancara dengan responden di lapangan untuk pengumpulan data riset sosial.","Survei;Wawancara;Komunikasi","Kontrak"
184,"Event Planner Pernikahan","Wedding Organizer Impian","Bandung","Kantor",6000000,10000000,"Merencanakan dan mengkoordinasikan semua aspek pernikahan klien, dari konsep hingga hari-H.","Event Planning;Negosiasi Vendor","Full-time"
185,"Cloud Engineer","Perusahaan SaaS","Jakarta","Remote",12000000,18000000,"Merancang, membangun, dan mengelola arsitektur cloud yang aman dan efisien di AWS atau Azure.","AWS;Azure;Infrastruktur Cloud","Remote"
186,"Penulis Naskah Sinetron","Production House Hits","Jakarta","Kantor",7000000,12000000,"Menulis skenario dan dialog untuk sinetron kejar tayang.","Menulis Kreatif;Screenwriting","Kontrak"
187,"Mekanik Mobil","Bengkel Resmi Toyota","Surabaya","Kantor",5000000,7500000,"Melakukan servis rutin, diagnosis masalah, dan perbaikan mobil sesuai standar pabrikan.","Teknik Otomotif;Mesin Mobil","Full-time"
188,"Business Development","Startup Logistik","Jakarta","Pusat Kota",8000000,13000000,"Mencari klien korporat baru, membangun kemitraan, dan memperluas jangkauan bisnis perusahaan.","Pengembangan Bisnis;Penjualan B2B","Full-time"
189,"Koki Masakan Jepang (Sushi)","Restoran Jepang Otentik","Jakarta","Pusat Kota",7000000,10000000,"Menyiapkan berbagai jenis sushi, sashimi, dan maki dengan standar kualitas tinggi.","Masakan Jepang;Sushi Making","Full-time"
190,"Recruitment Consultant","Headhunter Agency","Jakarta","Pusat Kota",7000000,15000000,"Membantu perusahaan klien mencari kandidat eksekutif untuk posisi-posisi kunci. (Gaji termasuk komisi)","Rekrutmen;Headhunting","Full-time"
191,"Cyber Security Analyst","Bank Nasional","Jakarta","Pusat Kota",11000000,17000000,"Memonitor ancaman keamanan, menganalisis insiden, dan memperkuat pertahanan siber bank.","Keamanan Siber;SIEM;Analisis Malware","Full-time"
192,"Pramuniaga Toko Buku","Toko Buku Gramedia","Makassar","Pusat Kota",3500000,4500000,"Melayani pelanggan, menata buku, dan membantu dalam proses transaksi di kasir.","Pelayanan Pelanggan;Pengetahuan Buku","Full-time"
193,"3D Artist (Lingkungan)","Studio Animasi 3D","Bandung","Kantor",8000000,12000000,"Membuat model 3D dan tekstur untuk lingkungan dalam film animasi atau game.","Maya;ZBrush;Substance Painter;Blender","Full-time"
194,"Manajer Gudang E-commerce","Pusat Logistik Nasional","Cikarang","Kawasan Industri",9000000,13000000,"Mengelola tim dan operasional gudang e-commerce yang menangani ribuan pesanan per hari.","Manajemen Gudang;WMS;Logistik","Full-time"
195,"Fashion Designer","Brand Pakaian Lokal","Bali","Kantor",6000000,10000000,"Merancang koleksi pakaian baru, dari sketsa hingga pemilihan bahan dan supervisi produksi sampel.","Desain Mode;Pola Pakaian","Full-time"
196,"Staf Perpajakan","Konsultan Pajak","Surabaya","Kantor",5500000,7500000,"Membantu dalam perhitungan PPh, PPN, dan pelaporan SPT tahunan untuk klien perusahaan.","Pajak;Akuntansi;e-SPT","Full-time"
197,"Resepsionis Hotel","Hotel Grand Hyatt","Jakarta","Pusat Kota",5000000,6500000,"Melakukan proses check-in dan check-out tamu, serta memberikan informasi mengenai fasilitas hotel.","Perhotelan;Komunikasi;Bahasa Inggris","Full-time"
198,"Video Journalist (VJ)","Stasiun TV Berita","Jakarta","Lapangan",6000000,8000000,"Meliput berita di lapangan, mengambil gambar video, dan melakukan laporan langsung.","Jurnalisme;Videografi","Full-time"
199,"Penyiar Radio","Radio Anak Muda FM","Bandung","Kantor",4000000,6000000,"Membawakan acara siaran radio, memutar musik, dan berinteraksi dengan pendengar.","Public Speaking;Penyiaran","Part-time"
200,"Data Scientist","Perusahaan Telekomunikasi","Jakarta","Pusat Kota",15000000,25000000,"Menggunakan model statistik dan machine learning untuk memprediksi churn pelanggan dan membangun model segmentasi.","Data Science;Machine Learning;Python;R;SQL","Full-time"
